Generic Name,Company Name, Contact Info, Presentation, Type of Update,Date of Update, Availability Information, Related Information, Resolved Note, Reason for Shortage, Therapeutic Category, Status, Change Date, Date Discontinued, Initial Posting Date, Generic Name Note, Generic Name Link , Company Info Link, Availability Link, Related Info Link,   Resolved Note Link, Discontinued Note Link
Dobutamine Hydrochloride Injection,Baxter Healthcare,888-229-0001,"250 mg/250 mL (NDC 0338-1073-02) Product code 2B0791, 500 mg/250 mL (NDC 0338-1075-02) Product code 2B0792, 1000 mg/250 mL (NDC 0338-1077-02) Product code 2B0793",Reverified,09/05/2019,Available,,,,Cardiovascular;Pediatric;Renal,Current,,,11/06/2017,,,,,,,
"Docusate Sodium Capsules, USP",Par Pharmaceutical,800-828-9393,"100mg, count bottle (NDC 0603-0150-21)",New,04/09/2019,,Endo has made a business decision to permanently discontinue the drug product.,,,Gastroenterology,To be Discontinued,04/09/2019,04/09/2019,04/09/2019,,,,,,,
"Docusate Sodium Capsules, USP",Par Pharmaceutical,800-828-9393,"100mg, count bottle (NDC 0603-0150-32)",New,04/09/2019,,Endo has made a business decision to permanently discontinue the drug product.,,,Gastroenterology,To be Discontinued,04/09/2019,04/09/2019,04/09/2019,,,,,,,
Dopamine Hydrochloride Injection,Baxter Healthcare,888-229-0001,"800 mcg/mL (250 mL bag) Product code 2B0832 (NDC 0338-1005-02), 800 mcg/mL (500 mL bag)  Product code 2B0833 (NDC 0338-1005-03), 1600 mcg/mL (250 mL bag) Product code 2B0842 (NDC 0338-1007-02), 1600 mcg/mL (500 mL bag) Product code 2B0843 (NDC 0338-1007-03), 3200 mcg/mL (250 mL bag) Product code 2B0846 (NDC 0338-1009-02)",Reverified,09/05/2019,Available,,,,Cardiovascular,Current,,,11/06/2017,,,,,,,
Dopamine Hydrochloride Injection,"Hospira, Inc.",844-646-4398,"400 mg/250 mL (1,600 mcg/mL); Flexible Container (NDC 00409-7809-22)",Revised,11/22/2019,Available,,,Other,Cardiovascular,Current,,,11/06/2017,,,,,,,
Dopamine Hydrochloride Injection,"Hospira, Inc.",844-646-4398,"800 mg/500 mL (1,600 mcg/mL); Flexible Container (NDC 00409-7809-24)",Revised,11/22/2019,Available,,,Other,Cardiovascular,Current,,,11/06/2017,,,,,,,
Dopamine Hydrochloride Injection,"Hospira, Inc.",844-646-4398,"800 mg/250 mL (3,200 mcg/mL); Flexible Container (NDC 00409-7810-22)",Revised,11/22/2019,Next Delivery and Estimated Recovery: December 2019,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,,Other,Cardiovascular,Current,,,11/06/2017,,,,,,,
Dopamine Hydrochloride Injection,"Hospira, Inc.",844-646-4398,200 mg/5 mL (40 mg/mL); Single Dose Glass Fliptop Vial (NDC 00409-5820-01),Revised,11/22/2019,Limited Supply Available. Next Delivery: November 2019; Estimated Recovery: December 2019,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,,Other,Cardiovascular,Current,,,11/06/2017,,,,,,,
Dopamine Hydrochloride Injection,"Hospira, Inc.",844-646-4398,400 mg/10 mL (40 mg/mL); Single Dose Glass Fliptop Vial (NDC 00409-9104-20),Revised,11/22/2019,Next Delivery and Estimated Recovery: June 2020,Shortage per Manufacturer: Manufacturing Delay,,Other,Cardiovascular,Current,,,11/06/2017,,,,,,,
Dorzolamide Hydrochloride and Timolol Maleate (Cosopt) Ophthalmic Solution,Akorn Pharmaceuticals,800-932-5676,"Cosopt® dorzolamide hydrochloride 22.3 mg/mL and Timolol maleate 6.8 mg/mL, 10 mL (NDC 17478-605-10)",Revised,01/02/2019,Unavailable. Estimated recovery: TBD,,,Other,Ophthalmology,Current,,,01/24/2018,,,,,,,
Dorzolamide Hydrochloride and Timolol Maleate (Cosopt) Ophthalmic Solution,Akorn Pharmaceuticals,800-932-5676,"Dorzolamide hydrochloride 22.3 mg/mL and Timolol maleate 6.8 mg/mL, 10 mL (NDC 50383-233-10)",Revised,01/02/2019,Limit availability / Recovery expected Q4,"Manufacturer interruption production issues.  Marketed by Hi-Tech Pharmacal Co., Inc. To order, contact Akorn Customer Service (1-800-932-5676)",,Other,Ophthalmology,Current,,,01/24/2018,,,,,,,
Dorzolamide Hydrochloride and Timolol Maleate (Cosopt) Ophthalmic Solution,Akorn Pharmaceuticals,800-932-5676,"Cosopt-PF® dorzolamide hydrochloride 22.3 mg/mL and Timolol maleate 6.8 mg/mL, 0.2 mL single use, 60 count (NDC 17478-604-30)",Revised,01/02/2019,Available,"Marketed by Akorn, Inc. To order, contact Akorn Customer Service (1-800-932-5676)",,Other,Ophthalmology,Current,,,01/24/2018,,,,,,,
Dorzolamide Hydrochloride and Timolol Maleate (Cosopt) Ophthalmic Solution,Sandoz,800-525-8747,"Dorzolamide hydrochloride 22.3 mg/mL and Timolol maleate 6.8 mg/mL, 10 mL (NDC 61314-030-02)",Reverified,11/18/2019,Supply available,"Labeled under Sandoz Inc. To order, contact Sandoz Inc. at 1-800-525-8747",,Demand increase for the product,Ophthalmology,Current,,,01/24/2018,,,,,,,
Dorzolamide Hydrochloride and Timolol Maleate (Cosopt) Ophthalmic Solution,Bausch Health,800-321-4576,"Dorzolamide hydrochloride 22.3 mg/mL and Timolol maleate 6.8 mg/mL, 10 mL (NDC 24208-486-10)",Revised,05/17/2019,Backordered.,"Marketed by Bausch & Lomb Inc. To order, contact Bausch & Lomb, a division of Valeant Pharmaceuticals North America at pharcs@valeant.com",,Other,Ophthalmology,Current,,,01/24/2018,,,,,,,
Dorzolamide Hydrochloride and Timolol Maleate (Cosopt) Ophthalmic Solution,Teva Pharmaceuticals,800-545-8800,"Dorzolamide hydrochloride 22.3 mg/mL and Timolol maleate 6.8 mg/mL, 10 mL (NDC 0591-2482-79)",Reverified,10/16/2019,Unavailable,This was a business-related decision to discontinue manufacturing these products.,,Discontinuation of the manufacture of the drug,Ophthalmology,Current,,,01/24/2018,,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Dorzolamide+Hydrochloride+and+Timolol+Maleate+%28Cosopt%29+Ophthalmic+Solution&st=d&tab=tabs-2,,
Dorzolamide Hydrochloride and Timolol Maleate (Cosopt) Ophthalmic Solution,Teva Pharmaceuticals,800-545-8800,"Dorzolamide Hydrochloride and Timolol Maleate 20 mg and 5 mg/mL, 10 mL (0591-2482-79)",New,04/20/2018,,This was a business-related decision to discontinue manufacturing this product.,,,Ophthalmology,To be Discontinued,04/20/2018,04/20/2018,04/20/2018,,,,,,,
Dorzolamide Hydrochloride and Timolol Maleate (Cosopt) Ophthalmic Solution,Aurobindo Pharma,866-850-2876,"Dorzolamide HCl and Timolol Maleate (Cosopt® PF) Ophthalmic Solution 2%/0.5% Preservative Free, 2mL single use container (NDC 65862-0947-60)",Reverified,01/23/2019,Available,Available,,Other,Ophthalmology,Current,,,09/28/2018,,,,,,,
Dorzolamide Hydrochloride Ophthalmic Solution,Teva Pharmaceuticals,800-545-8800,"Dorzolamide hydrochloride 22.3 mg/mL, 10 mL (NDC 0591-2481-79)",New,04/20/2018,,This was a business-related decision to discontinue manufacturing these products,,,Ophthalmology,To be Discontinued,04/20/2018,04/20/2018,04/20/2018,,,,,,,
Dorzolamide Hydrochloride Ophthalmic Solution,Teva Pharmaceuticals,800-545-8800,"Dorzolamide hydrochloride 22.3 mg/mL, 10 mL (NDC 0093-7618-43)",New,04/20/2018,,This was a business-related decision to discontinue manufacturing these products,,,Ophthalmology,To be Discontinued,04/20/2018,04/20/2018,04/20/2018,,,,,,,
Dorzolamide Hydrochloride Ophthalmic Solution,Teva Pharmaceuticals,800-545-8800,"Dorzolamide Hydrochloride 22.3 mg/mL, 10 mL (NDC 0591-2481-79)",Reverified,10/16/2019,Unavailable,This was a business-related decision to discontinue manufacturing these products,,Discontinuation of the manufacture of the drug,Ophthalmology,Current,04/20/2018,04/20/2018,06/01/2018,,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Dorzolamide+Hydrochloride+Ophthalmic+Solution&st=d&tab=tabs-2,,
Dorzolamide Hydrochloride Ophthalmic Solution,Teva Pharmaceuticals,800-545-8800,"Dorzolamide Hydrochloride 22.3 mg/mL, 10 mL (NDC 0093-7618-43)",Reverified,10/16/2019,Unavailable,This was a business-related decision to discontinue manufacturing these products,,Discontinuation of the manufacture of the drug,Ophthalmology,Current,04/20/2018,04/20/2018,06/01/2018,,,,,https://www.accessdata.fda.gov/scripts/drugshortages/dsp_ActiveIngredientDetails.cfm?AI=Dorzolamide+Hydrochloride+Ophthalmic+Solution&st=d&tab=tabs-2,,
Dorzolamide Hydrochloride Ophthalmic Solution,Sandoz,800-525-8747,"Dorzolamide hydrochloride 22.3 mg/mL, 10 mL (NDC 61314-019-10)",Reverified,11/18/2019,Supply available,"Labeled under Sandoz Inc. To order, contact Sandoz Inc. at 1-800-525-8747",,Demand increase for the product,Ophthalmology,Current,,,01/25/2018,,,,,,,
Dorzolamide Hydrochloride Ophthalmic Solution,Akorn Pharmaceuticals,800-932-5676,"Dorzolamide hydrochloride 22.3 mg/mL, 10 mL (NDC 50383-232-10)",Revised,09/16/2019,Limited availability.,"Manufacturer interruption production issues. Distributed by Hi-Tech Pharmacal Co., Inc. To order, contact Akorn Customer Service (1-800-932-5676)",,Other,Ophthalmology,Current,,,01/24/2018,,,,,,,
Dorzolamide Hydrochloride Ophthalmic Solution,Merck Sharp & Dohme Corp.,800-637-2579,"TRUSOPT® dorzolamide hydrochloride ophthalmic solution 2%, 10 mL in an 18 mL capacity bottle (NDC 0006-3519-36)",Reverified,06/01/2018,Product is available,"For additional information please contact: Merck National Service Center, Telephone Number: 1-800-672-6372",,Demand increase for the drug,Ophthalmology,Current,,,01/24/2018,,,,,,,
Dorzolamide Hydrochloride Ophthalmic Solution,Bausch Health,800-321-4576,"Dorzolamide hydrochloride USP 2%, 10 mL (NDC 24208-485-10)",Revised,09/13/2019,Supply available,"Marketed by Bausch & Lomb Inc. To order, contact Bausch & Lomb, a division of Bausch Health US, LLC at pharcs@bauschhealth.com",,Other,Ophthalmology,Current,,,01/24/2018,,,,,,,
Doxycycline Capsules,Teva Pharmaceuticals,800-545-8800,50 mg capsules (NDC 0591-0410-01),New,04/29/2019,,This product discontinuation is a business related decision.,,,Anti-Infective,To be Discontinued,04/29/2019,04/29/2019,04/29/2019,,,,,,,
Doxycycline Capsules,Teva Pharmaceuticals,800-545-8800,75 mg capsules (NDC 0591-2404-01),New,04/29/2019,,This product discontinuation is a business related decision.,,,Anti-Infective,To be Discontinued,04/29/2019,04/29/2019,04/29/2019,,,,,,,
Doxycycline Capsules,Teva Pharmaceuticals,800-545-8800,100 mg capsules (NDC 0591-0411-50),New,04/29/2019,,This product discontinuation is a business related decision.,,,Anti-Infective,To be Discontinued,04/29/2019,04/29/2019,04/29/2019,,,,,,,
Doxycycline Hyclate Capsules,Teva Pharmaceuticals,800-545-8800,50 mg  (NDC 0591-5535-50),New,10/15/2019,,This product is being discontinued due to a business decision.,,,Anti-Infective,To be Discontinued,10/15/2019,10/15/2019,10/15/2019,,,,,,,
Doxycycline Hyclate Capsules,Teva Pharmaceuticals,800-545-8800,100 mg (NDCs 0591-5440-50 and 0591-5440-05),New,10/15/2019,,This product is being discontinued due to a business decision.,,,Anti-Infective,To be Discontinued,10/15/2019,10/15/2019,10/15/2019,,,,,,,
Doxycycline Hyclate Delayed Release Tablets,Mylan Pharmaceuticals Inc.,800-796-9526,150 mg tablets (NDC 0378-3030-01),New,09/09/2019,,,,,Anti-Infective,To be Discontinued,09/09/2019,09/09/2019,09/09/2019,,,,,,,
Dronabinol Capsules,"Endo Pharmaceuticals, Inc.",800-462-3636,"2.5 mg capsules (NDC 498840-867-02), 5 mg capsules (NDC 498840-868-02), 10 mg capsules (NDC 498840-869-02)",New,02/07/2019,,,,,Gastroenterology,To be Discontinued,02/07/2019,02/07/2019,02/07/2019,,,,,,,
Echothiophate Iodide (Phospholine Iodide) Ophthalmic Solution,Pfizer Pharmaceuticals,800-533-4535,6.25 mg package for 0.125% (NDC 0046-1065-05),Reverified,11/22/2019,Next delivery and Estimated recovery: Q3 2020,Shortage per manufacturer: Manufacturing Delay,,Other,Ophthalmology,Current,,,09/24/2019,,,,,,,
Eflornithine Hydrochloride (Vaniqa) Cream,Allergan,800-678-1605,13.9% (NDC 0023-4857-45),Revised,06/12/2019,,,,,Dermatology,Resolved,06/12/2019,,04/18/2018,,,,,,,
Emedastine Difumarate (Emadine) 0.05% Ophthalmic Solution,Novartis,888-669-6682,Emadine (emedastine difumarate) 0.05% ophthalmic solution 5mL in 1 Bottle (NDC 0065-0325-05),New,01/29/2019,,Novartis Pharmaceuticals has made a business decision to permanently discontinue this product.,,,Ophthalmology;Pulmonary/Allergy,To be Discontinued,01/29/2019,01/29/2019,01/29/2019,,,,,,,
"Enalaprilat Injection, USP","Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",800-631-2174,"2.5mg/2mL, vial (NDC 0143-9786-10)",Reverified,10/04/2019,This presentation is temporarily on backorder.,Product will be available in November/December 2019.,,Demand increase for the drug,Cardiovascular,Current,,,03/29/2019,,,,,,,
"Enalaprilat Injection, USP","Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)",800-631-2174,"1.25mg/mL, vial  (NDC 0143-9787-10)",Reverified,10/04/2019,This presentation is temporarily on backorder.,Product will be available in November/December 2019.,,Demand increase for the drug,Cardiovascular,Current,,,03/29/2019,,,,,,,
"Enalaprilat Injection, USP","Hospira, Inc.",844-646-4398,1.25 mg/mL; Single Dose Glass Fliptop Vial (NDC 00409-2122-01),Reverified,11/22/2019,Next Delivery: March 2020;  Estimated Recovery: June 2020,Shortage per manufacturer: Manufacturing Delay,,Other,Cardiovascular,Current,,,03/29/2019,,,,,,,
"Enalaprilat Injection, USP","Hospira, Inc.",844-646-4398,2.5 mg/2 mL (1.25 mg/mL); Single Dose Glass Fliptop Vial (NDC 00409-2122-02),Reverified,11/22/2019,Next Delivery: March 2020;  Estimated Recovery: June 2020,Shortage per manufacturer: Manufacturing Delay,,Other,Cardiovascular,Current,,,03/29/2019,,,,,,,
Epinastine Hydrochloride (Elestat®) Ophthalmic Solution,Allergan,800-678-1605,5 mL in 10 mL bottle (NDC 00023-9201-05),New,08/19/2019,,,,,Ophthalmology,To be Discontinued,08/19/2019,08/19/2019,08/19/2019,,,,,,,
"Epinephrine Injection, 0.1 mg/mL","Hospira, Inc.",844-646-4398,"1 mg/10 mL (0.1 mg/mL); LifeShield Abboject Glass Syringe (NDC 00409-4921-34, pack of 10; NDC 0409-4921-20, individual)",Revised,11/22/2019,Next Delivery: November 2019; Estimated Recovery: August 2020,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,,Other,Cardiovascular;Pulmonary/Allergy,Current,,,04/27/2012,,,,,https://www.fda.gov/drugs/drug-shortages/search-list-extended-use-dates-assist-drug-shortages,,
"Epinephrine Injection, 0.1 mg/mL","Amphastar Pharmaceuticals, Inc./IMS",800-423-4136,"1:10,000, 10mL Luer-Jet Prefilled Syringe
(NDC 76329-3316-1)(old NDC 0548-3316-00)",Revised,11/06/2019,Intermittent supply,"IMS is releasing product, but market demand continues to exceed our capacity",,Demand increase for the drug,Cardiovascular;Pulmonary/Allergy,Current,,,04/27/2012,,,,,,,
"Epinephrine Injection, Auto-Injector",Teva Pharmaceuticals,800-545-8800,"0.3 mg/mL epinephrine injection, USP, auto-injector (NDC 0093-5986-27)",Revised,11/18/2019,Available,,,,Pulmonary/Allergy,Current,,,12/07/2018,,,,,,,
"Epinephrine Injection, Auto-Injector",Mylan Specialty,800-RXMYLAN (1-800-796- 9526),"0.3 mg (EpiPen® NDC 49502-500-02, pack of 2; NDC 49502-500-01, individual) (Authorized Generic NDC 49502-102-02, pack of 2; NDC 49502-102-01, individual)",Reverified,11/12/2019,Available,"Meridian Medical Technologies, a subsidiary of Pfizer that manufactures EpiPen® and the authorized generic version, continues to experience manufacturing constraints. Currently, supplies will vary from pharmacy to pharmacy. Mylan, the distributor, is expediting shipments to wholesalers upon receipt from Pfizer. Patients who are experiencing difficulty accessing product should continue to contact Mylan Customer Relations at 800-796-9526 for assistance in locating alternative pharmacies.",,Manufacturing delays,Pulmonary/Allergy,Current,,,05/09/2018,,,,,https://www.fda.gov/media/127690/download,,
"Epinephrine Injection, Auto-Injector",Mylan Specialty,800-RXMYLAN (1-800-796- 9526),0.15 mg (EpiPen® NDC 49502-501-02) (Authorized Generic NDC 49502-101-02),Reverified,11/12/2019,Available,"Meridian Medical Technologies, a subsidiary of Pfizer that manufactures EpiPen® and the authorized generic version, continues to experience manufacturing constraints. Currently, supplies will vary from pharmacy to pharmacy. Mylan, the distributor, is expediting shipments to wholesalers upon receipt from Pfizer. Patients who are experiencing difficulty accessing product should continue to contact Mylan Customer Relations at 800-796-9526 for assistance in locating alternative pharmacies.",,Manufacturing delays,Pulmonary/Allergy,Current,,,05/09/2018,,,,,https://www.fda.gov/media/126548/download,,
"Epinephrine Injection, Auto-Injector",Impax Laboratories,877-99-Impax(46729); option 2,"0.15 mg/0.15 mL epinephrine injection, USP, pre-filled auto-injector (two pack)(NDC 0115-1695-49)",Revised,08/15/2019,On allocation,,,Manufacturing delays,Pulmonary/Allergy,Current,,,05/09/2018,,,,,https://www.fda.gov/downloads/Drugs/DrugSafety/DrugShortages/UCM612883.pdf,,
"Epinephrine Injection, Auto-Injector",Impax Laboratories,877-99-Impax(46729); option 2,"0.3 mg/0.3 mL epinephrine injection, USP, pre-filled auto-injector (two pack)(NDC 0115-1694-49)",Revised,08/15/2019,On allocation,,,Manufacturing delays,Pulmonary/Allergy,Current,,,05/09/2018,,,,,https://www.fda.gov/downloads/Drugs/DrugSafety/DrugShortages/UCM612883.pdf,,
"Epinephrine Injection, Auto-Injector",Kaleo,877-30-AUVIQ (1-877-302-8847),"Carton containing two AUVI-Q (epinephrine injection, USP) 0.3 mg auto-injectors and a single AUVI-Q Trainer (NDC 60842-023-01)",Reverified,07/11/2019,Available,AUVI-Q is readily available and not currently in shortage.,,,Pulmonary/Allergy,Current,,,05/09/2018,,,,,,,
"Epinephrine Injection, Auto-Injector",Kaleo,877-30-AUVIQ (1-877-302-8847),"Carton containing two AUVI-Q (epinephrine injection, USP) 0.15 mg auto-injectors and a single AUVI-Q Trainer (NDC 60842-022-01)",Reverified,07/11/2019,Available,AUVI-Q is readily available and not currently in shortage.,,,Pulmonary/Allergy,Current,,,05/09/2018,,,,,,,
"Epinephrine Injection, Auto-Injector",Kaleo,877-30-AUVIQ (1-877-302-8847),"Carton containing two AUVI-Q (epinephrine injection, USP) 0.1 mg auto-injectors and a single AUVI-Q Trainer (NDC 60842-021-01)",Reverified,07/11/2019,Available,AUVI-Q is readily available and not currently in shortage.,,,Pulmonary/Allergy,Current,,,05/09/2018,,,,,,,
"Epinephrine Injection, Auto-Injector",Adamis Pharmaceuticals Corporation,800-230-3935,"Carton containing two SYMJEPI (epinephrine injection, USP) 0.3 mg single-dose, pre-filled syringes (NDC 0781-3442-20)",New,07/17/2019,Available,,,,Pulmonary/Allergy,Current,,,12/07/2018,,,,,,,
"Epinephrine Injection, Auto-Injector",Adamis Pharmaceuticals Corporation,800-230-3935,"Carton containing two SYMJEPI (epinephrine injection, USP) 0.15 mg single-dose, pre-filled syringes (NDC 0781-3448-20)",New,07/17/2019,Available,,,,Pulmonary/Allergy,Current,,,12/07/2018,,,,,,,
"Epinephrine Injection, Auto-Injector",Teva Pharmaceuticals,800-545-8800,"0.15 MG Epinephrine Injection, USP auto-injector (NDC 0093-5985-27)",Reverified,11/18/2019,Available,,,,Pulmonary/Allergy,Current,,,12/07/2018,,,,,,,
Epirubicin Hydrochloride Injection,Teva Pharmaceuticals,800-545-8800,2 mg/1 mL  (NDCs 45963-608-60 and 45963-608-68),New,07/17/2019,,This product discontinuation is a business related decision.  Anticipated discontinuance time is first quarter of the year 2020.,,,Oncology,To be Discontinued,07/17/2019,07/17/2019,07/17/2019,,,,,,,
Epirubicin Hydrochloride Injection,Cipla Limited,844-247-5287,2 mg/1 mL  (NDCs 25021-203-25 and 59923-701-25),New,07/17/2019,,Anticipated unavailability of product is September 2019.,,,Oncology,To be Discontinued,07/17/2019,07/17/2019,07/17/2019,,,,,,,
Eprosartan Mesylate Tablets,Mylan Pharmaceuticals Inc.,800-796-9526,Eprosartan Mesylate 600mg T 30s (NDC 0378-6629-93),Reverified,11/12/2019,Out of stock. Resupply TBD,,,Other,Cardiovascular,Current,,,03/11/2019,,,,,,,
Eptifibatide (Integrilin) Injection,Merck Sharp & Dohme Corp.,800-672-6372,0.75 mg/mL (NDCs 0085-1136-02 and 0085-1136-03),New,11/18/2019,,The following presentation will continue to be available: 0.75 mg/mL (NDC 0085-1136-01 ),,,Cardiovascular,To be Discontinued,11/18/2019,11/18/2019,11/18/2019,,,,,,,
Eptifibatide (Integrilin) Injection,Merck Sharp & Dohme Corp.,800-672-6372,2 mg/mL (NDCs 0085-1177-03 and 0085-1177-05),New,11/18/2019,,The following presentations will continue to be available: 2 mg/mL (NDCs 0085-1177-01 and 0085-1177-02),,,Cardiovascular,To be Discontinued,11/18/2019,11/18/2019,11/18/2019,,,,,,,
"Erythromycin Lactobionate for Injection, USP","Hospira, Inc.",844-646-4398,500 mg Single Dose Glass Fliptop Vial (NDC 00409-6482-01),Revised,11/22/2019,Limited Supply Available. Next Delivery and Estimated Recovery: January 2020,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,,Other,Anti-Infective,Current,,,05/21/2018,,,,,,,
"Erythromycin Lactobionate for Injection, USP","Hospira, Inc.",844-646-4398,500 mg Single-dose ADD-Vantage® Vial (NDC 00409-6476-44),Revised,11/22/2019,Available,,,Other,Anti-Infective,Current,,,05/21/2018,,,,,,,
Erythromycin Ophthalmic Ointment,Akorn Pharmaceuticals,800-932-5676,Erythromycin Ophthalmic Ointment 0.5%: 3.5 g tube (NDC 17478-070-35),Revised,09/23/2019,On backorder,"Expected availability Oct 1, 2019",,Requirements related to complying with good manufacturing practices,Ophthalmology,Current,,,03/05/2019,,,,,,,
Erythromycin Ophthalmic Ointment,Akorn Pharmaceuticals,800-932-5676,Erythromycin Ophthalmic Ointment 0.5%: 1 g  tube (unit dose) (NDC17478-070-01),Revised,09/23/2019,On backorder,"Expected availability Oct 1, 2019",,Requirements related to complying with good manufacturing practices,Ophthalmology,Current,,,03/05/2019,,,,,,,
Erythromycin Ophthalmic Ointment,Akorn Pharmaceuticals,800-932-5676,Erythromycin Ophthalmic Ointment 0.5%: 3.5 g tube (NDC 17478-824-35)(Premier),Revised,09/23/2019,No longer distributing,,,,Ophthalmology,Current,,,03/05/2019,,,,,,,
Erythromycin Ophthalmic Ointment,Akorn Pharmaceuticals,800-932-5676,Erythromycin Ophthalmic Ointment 0.5%: 1 g  tube (unit dose) (NDC 17478-824-01)(Premier),Revised,09/23/2019,No longer distributing,,,,Ophthalmology,Current,,,03/05/2019,,,,,,,
Erythromycin Ophthalmic Ointment,Bausch Health,800-321-4576,3.5 g in 1 Tube (NDC 24208-910-55),Revised,09/24/2019,Available,"Distributed by: Bausch & Lomb Incorporated, a division of  Bausch Health Americas, Inc, Bridgewater, NJ 08807 USA",,Demand increase for the drug,Ophthalmology,Current,,,03/05/2019,,,,,,,
Erythromycin Ophthalmic Ointment,Bausch Health,800-321-5676,1 g in cartons of 50 (NDC 24208-910-19),Revised,09/24/2019,Available,"Distributed by: Bausch & Lomb Incorporated, a division of  Bausch Health Americas, Inc, Bridgewater, NJ 08807 USA",,Demand increase for the drug,Ophthalmology,Current,,,03/05/2019,,,,,,,
Erythromycin Ophthalmic Ointment,Perrigo Company PLC,269-673-8451,"1 gram, 50-count (NDC 00574-4024-50)",Revised,09/23/2019,On backorder. (Perrigo is expecting product to be released late this week or early next week (week of September 30th),,,Demand increase for the drug,Ophthalmology,Current,,,03/05/2019,,,,,,,
Erythromycin Ophthalmic Ointment,Perrigo Company PLC,269-673-8451,"3.5 gram, 1-count (NDC 00574-4024-35)",Revised,09/23/2019,Available and shipping,,,Demand increase for the drug,Ophthalmology,Current,,,03/05/2019,,,,,,,
Erythromycin Ophthalmic Ointment,Perrigo Company PLC,269-673-8451,"3.5 gram, 24-count (NDC 00574-4024-39)",Revised,09/23/2019,Available and shipping,,,Demand increase for the drug,Ophthalmology,Current,,,03/05/2019,,,,,,,
Escitalopram (Lexapro) 5 mg/5 mL Oral Solution,Allergan Sales LLC,800-678-1605,Lexapro oral solution 240 mL bottle 5 mg/5mL (NDC 0456-2101-08),New,05/02/2019,,,,,Psychiatry,To be Discontinued,05/02/2019,05/02/2019,05/02/2019,,,,,,,
Escitalopram (Lexapro) 5 mg/5 mL Oral Solution,Allergan Sales LLC,800-678-1605,Escitalopram Oxalate oral solution 240 mL bottle (NDC 0591-4151-38),New,05/02/2019,,,,,Psychiatry,To be Discontinued,05/02/2019,05/02/2019,05/02/2019,,,,,,,
Ethinyl Estradiol and Levonorgestrel (Myzilra),"Endo Pharmaceuticals, Inc.",800-462-3636,"0.03mg, 0.04mg, 0.03mg, 0.05mg, 0.075mg, 0.125mg; 6 blister pack in 1 carton (NDC 0603-7625-17)",New,05/10/2019,,Discontinued due to business reasons.,,,Reproductive,To be Discontinued,05/10/2019,05/10/2019,05/10/2019,,,,,,,
Ethinyl Estradiol and Levonorgestrel (Myzilra),"Endo Pharmaceuticals, Inc.",800-462-3636,"0.03mg, 0.04mg, 0.03mg, 0.05mg, 0.075mg, 0.125mg; 3 blister pack in 1 carton (NDC 0603-7625-49)",New,05/10/2019,,Discontinued due to business reasons.,,,Reproductive,To be Discontinued,05/10/2019,05/10/2019,05/10/2019,,,,,,,
Ethiodized Oil (Lipiodol) Injection,Guerbet LLC,877-729-6679,Box of one 10 mL ampoule (NDC 67684-1901-1),Revised,08/01/2019,,,Available,,Medical Imaging;Oncology,Resolved,08/01/2019,,06/24/2015,,,,,,,
"Ethosuximide Oral Solution, USP",Teva Pharmaceuticals,800-545-8800,"250 mg/5mL, 474 mL Bottle (NDC 0093-9660-16)",New,05/17/2019,,Teva made a business decision to discontinue this product.,,,Neurology,To be Discontinued,05/17/2019,05/17/2019,05/17/2019,,,,,,,
Etoposide Injection,Accord Healthcare Inc.,866-941-7875,ETOPOSIDE INJ USP 20MG/ML 5ML (NDC 16729-114-31),Revised,06/12/2019,,,,,Oncology,Resolved,06/12/2019,,01/24/2018,,,,,,,
Etoposide Injection,Accord Healthcare Inc.,866-941-7875,ETOPOSIDE INJ USP 20MG/ML (Nova Plus) 5ML (NDC 16729-262-31),Revised,06/12/2019,,,,,Oncology,Resolved,06/12/2019,,01/24/2018,,,,,,,
Etoposide Injection,Accord Healthcare Inc.,866-941-7875,ETOPOSIDE INJ. USP 20MG/ML 25 ML (NDC 16729-114-08),Revised,06/12/2019,,,,,Oncology,Resolved,06/12/2019,,01/24/2018,,,,,,,
Etoposide Injection,Accord Healthcare Inc.,866-941-7875,ETOPOSIDE INJ. USP 20MG/ML 50 ML (NDC 16729-114-11),Revised,06/12/2019,,,,,Oncology,Resolved,06/12/2019,,01/24/2018,,,,,,,
Etoposide Injection,"Fresenius Kabi USA, LLC",888-386-1300,"100 mg per 5 mL, 20 mg per mL, MDV (NDC 63323-104-05)",Revised,06/12/2019,,,,,Oncology,Resolved,06/12/2019,,01/24/2018,,,,,,,
Etoposide Injection,"Fresenius Kabi USA, LLC",888-386-1300,"500 mg per 25 mL, 20 mg per mL, MDV (NDC 63323-104-25)",Revised,06/12/2019,,,,,Oncology,Resolved,06/12/2019,,01/24/2018,,,,,,,
